Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)		Begin Path	File Offset (s)	Begin File	Site	hour	fileDate	date(raven)	Tag 1	Tag 2	notes	Analyst	Begin Path (old)
76	Spectrogram 1	1	6518852.643	6518855.476	22	39.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	43301.627	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
77	Spectrogram 1	1	6519905.923	6519910.917	13.1	35.4		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	44354.907	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
78	Spectrogram 1	1	6519909.463	6519912.706	22	77.7		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	44358.447	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
79	Spectrogram 1	1	6519914.979	6519919.228	18.7	43.2		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	44363.963	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
80	Spectrogram 1	1	6520175.401	6520178.681	17.6	33.1		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	44624.385	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
81	Spectrogram 1	1	6520516.208	6520519.413	22	54.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	44965.192	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18			marginal	edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
82	Spectrogram 1	1	6520616.42	6520620.706	18.7	47.6		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	45065.404	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
83	Spectrogram 1	1	6520654.917	6520658.011	24.2	43.2		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	45103.901	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
84	Spectrogram 1	1	6520704.146	6520707.016	23.1	43.2		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	45153.13	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
85	Spectrogram 1	1	6520713.314	6520718.345	22	39.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	45162.298	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
86	Spectrogram 1	1	6520725.985	6520730.681	23.1	43.2		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	45174.969	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
87	Spectrogram 1	1	6521712.109	6521719.675	12	36.5		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	46161.093	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18			marginal	edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
88	Spectrogram 1	1	6522134.718	6522139.489	16.4	32		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	46583.702	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18			marginal	edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
89	Spectrogram 1	1	6522206.532	6522210.744	20.9	37.6		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	46655.516	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
90	Spectrogram 1	1	6524452.693	6524455.637	15.3	30.9		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	48901.677	nn04e_20180911_000000.wav	nn04e	13	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
91	Spectrogram 1	1	6524561.736	6524565.724	23.1	48.7		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	49010.72	nn04e_20180911_000000.wav	nn04e	13	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
92	Spectrogram 1	1	6524567.886	6524570.607	22	36.5		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	49016.87	nn04e_20180911_000000.wav	nn04e	13	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
93	Spectrogram 1	1	6524987.438	6524989.674	23.1	37.6		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	49436.422	nn04e_20180911_000000.wav	nn04e	13	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
94	Spectrogram 1	1	6524995.227	6524999.103	20.9	39.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	49444.211	nn04e_20180911_000000.wav	nn04e	13	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
95	Spectrogram 1	1	6525024.295	6525027.277	25.4	37.6		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	49473.279	nn04e_20180911_000000.wav	nn04e	13	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
96	Spectrogram 1	1	6525529.749	6525534.333	18.7	33.1		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	49978.733	nn04e_20180911_000000.wav	nn04e	13	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
97	Spectrogram 1	1	6701260.356	6701266.747	42.9	75.4		L:\ELP\Projects\Nouabale\nn_sounds\nn04f\nn04f_20180620_000000.wav	53027.105	nn04f_20180620_000000.wav	nn04f	14	20-Jun-18	20-Jun-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04f_201804_apr\nn04f_20180620_000000.wav
98	Spectrogram 1	1	345364.2397	345374.0397	0	100		L:\ELP\Projects\Nouabale\nn_sounds\nn05c\nn05c_20180416_000000.wav	0.2833	nn05c_20180416_000000.wav	nn05c	0	16-Apr-18	16-Apr-18	DUMMY_NoEles			jdt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn05c_201801_jan\nn05c_20180416_000000.wav
99	Spectrogram 1	1	7227540.938	7227543.783	26.7	41.2		L:\ELP\Projects\Nouabale\nn_sounds\nn05c\nn05c_20180828_000000.wav	61264.057	nn05c_20180828_000000.wav	nn05c	17	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05c_201804_apr\nn05c_20180828_000000.wav
100	Spectrogram 1	1	172682.1471	172691.9471	0	100		L:\ELP\Projects\Nouabale\nn_sounds\nn05c\nn05c_20190312_000000.wav	0.4248	nn05c_20190312_000000.wav	nn05c	0	12-Mar-19	12-Mar-19	DUMMY_NoEles			jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05c_201901_jan\nn05c_20190312_000000.wav
101	Spectrogram 1	1	802572.7504	802576.5889	17.9	41.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180321_000000.wav	25507.3043	nn05d_20180321_000000.wav	nn05d	7	21-Mar-18	21-Mar-18				sew	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn05d_201801_jan\nn05d_20180321_000000.wav
102	Spectrogram 1	1	7375616.19	7375620.512	28.9	40		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	36657.074	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
103	Spectrogram 1	1	1245430.439	1245433.173	18.9	27.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	36659.919	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
104	Spectrogram 1	1	1245433.357	1245435.721	24.4	41.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	36662.837	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
105	Spectrogram 1	1	7375670.633	7375675.731	23.3	44.4		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	36711.517	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
106	Spectrogram 1	1	7375739.914	7375744.569	21.1	40		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	36780.798	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
107	Spectrogram 1	1	7375749.993	7375753.496	25.225	37.838		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	36790.8771	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18			m	edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
108	Spectrogram 1	1	7375836.476	7375844.121	18.9	54.234		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	36877.36	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
109	Spectrogram 1	1	7375919.796	7375924.953	18.9	34.685		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	36960.68	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
110	Spectrogram 1	1	7376042.833	7376047.353	14.4	33.423		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	37083.717	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
111	Spectrogram 1	1	7376065.392	7376069.345	14.4	30		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	37106.276	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
112	Spectrogram 1	1	7376076.882	7376083.606	13.3	30		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	37117.766	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
113	Spectrogram 1	1	7376091.512	7376098.31	14.4	28.9		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	37132.396	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
114	Spectrogram 1	1	7376110.429	7376112.719	18.9	30		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	37151.313	nn05d_20180828_000000.wav	nn05d	10	28-Aug-18	28-Aug-18			m	sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
115	Spectrogram 1	1	7394694.409	7394698.879	26.7	37.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180828_000000.wav	55735.293	nn05d_20180828_000000.wav	nn05d	15	28-Aug-18	28-Aug-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180828_000000.wav
116	Spectrogram 1	1	1372031.115	1372033.724	18.5	206.7		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180908_000000.wav	76919.4783	nn05d_20180908_000000.wav	nn05d	21	8-Sep-18	8-Sep-18		m		jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180908_000000.wav
117	Spectrogram 1	1	1372035.848	1372041.028	15.1	208.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20180908_000000.wav	76924.2111	nn05d_20180908_000000.wav	nn05d	21	8-Sep-18	8-Sep-18		m		jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05d_201804_apr\nn05d_20180908_000000.wav
118	Spectrogram 1	1	1640476.318	1640486.118	0	100		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190119_000000.wav	0.2124	nn05d_20190119_000000.wav	nn05d	0	19-Jan-19	19-Jan-19	DUMMY_NoEles			jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201809_sep\nn05d_201809_sep\nn05d_20190119_000000.wav
119	Spectrogram 1	1	1759511.829	1759515.071	14.5	34.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190218_000000.wav	32695.118	nn05d_20190218_000000.wav	nn05d	9	18-Feb-19	18-Feb-19				jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190218_000000.wav
120	Spectrogram 1	1	113416.9653	113420.9902	18.447	45.459		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27076.3603	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
121	Spectrogram 1	1	113417.0298	113420.9944	19.222	40.366		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27076.4247	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
122	Spectrogram 1	1	113570.0212	113573.2262	21.5	38.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27229.4161	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
123	Spectrogram 1	1	113573.5243	113578.1454	17.2	38.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27232.9192	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
124	Spectrogram 1	1	113758.6301	113761.2388	15.6	36.5		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27418.025	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
125	Spectrogram 1	1	113977.4623	113983.7604	19.106	30.306		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27636.8573	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19			marginal	jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
126	Spectrogram 1	1	113979.4002	113982.3816	27.4	48.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27638.7951	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
127	Spectrogram 1	1	113990.0213	113994.9778	24.1	54.2		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27649.4162	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
128	Spectrogram 1	1	113998.9281	114002.543	25.7	54.2		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27658.323	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
129	Spectrogram 1	1	114006.7728	114010.0151	22.3	52.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27666.1678	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
130	Spectrogram 1	1	114025.8722	114030.0089	23.1	48.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27685.2671	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
131	Spectrogram 1	1	114061.9468	114064.0338	25.035	47.435		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27721.3417	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
132	Spectrogram 1	1	114085.9096	114089.4127	22.4	48.753		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27745.3045	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
133	Spectrogram 1	1	114118.0338	114122.6922	23.718	50.071		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27777.4287	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
134	Spectrogram 1	1	114126.1953	114128.804	26.353	45.459		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27785.5903	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
135	Spectrogram 1	1	114131.6735	114136.3692	22.4	51.388		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27791.0684	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
136	Spectrogram 1	1	114163.9468	114167.7108	24.376	48.094		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27823.3417	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
137	Spectrogram 1	1	114275.8598	114279.3629	19.106	40.847		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	27935.2548	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
138	Spectrogram 1	1	114741.8102	114746.1705	23.9	45.9		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	28401.2051	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
139	Spectrogram 1	1	114761.5431	114764.5245	19.3	46.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	28420.938	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
140	Spectrogram 1	1	114777.3815	114780.2884	29	45.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	28436.7764	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
141	Spectrogram 1	1	114785.0958	114787.2946	23.1	37.5		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	28444.4908	nn05d_20190424_000000.wav	nn05d	7	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
142	Spectrogram 1	1	115308.4002	115314.5865	8	39.7		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	28967.7951	nn05d_20190424_000000.wav	nn05d	8	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
143	Spectrogram 1	1	122009.0483	122012.0572	25.629	39.725		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	35668.4432	nn05d_20190424_000000.wav	nn05d	9	24-Apr-19	24-Apr-19			marginal	jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
144	Spectrogram 1	1	122030.6765	122036.4818	18.581	33.959		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	35690.0714	nn05d_20190424_000000.wav	nn05d	9	24-Apr-19	24-Apr-19				jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
145	Spectrogram 1	1	127550.1397	127552.5822	33.318	42.929		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	41209.5346	nn05d_20190424_000000.wav	nn05d	11	24-Apr-19	24-Apr-19			marginal	jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
146	Spectrogram 1	1	128728.9096	128734.1643	19.3	41.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	42388.3045	nn05d_20190424_000000.wav	nn05d	11	24-Apr-19	24-Apr-19			marginal	jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
147	Spectrogram 1	1	129644.599	129649.1829	17.2	48.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	43303.9939	nn05d_20190424_000000.wav	nn05d	12	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
148	Spectrogram 1	1	129649.6301	129654.2885	18.2	33.3		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	43309.025	nn05d_20190424_000000.wav	nn05d	12	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
149	Spectrogram 1	1	129665.0959	129670.4624	16.1	51		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	43324.4907	nn05d_20190424_000000.wav	nn05d	12	24-Apr-19	24-Apr-19				jll & yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
150	Spectrogram 1	1	131574.3492	131578.597	22.426	39.725		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	45233.7441	nn05d_20190424_000000.wav	nn05d	12	24-Apr-19	24-Apr-19			faint	jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
